ds,yhat,yhat_lower,yhat_upper
2023-09-02 00:00:00,72068.42523521894,63168.57004894731,80511.01593599378
2023-09-02 00:15:00,68306.51718681611,59300.138670955785,77538.74832353544
2023-09-02 00:30:00,64365.76042329407,56460.353444749104,72706.51755206742
2023-09-02 00:45:00,60298.34450271684,51320.06674831396,68866.96873134191
2023-09-02 01:00:00,56158.42791459518,47711.72530387735,65133.773433913164
2023-09-02 01:15:00,52000.91476461726,42742.170477298176,60446.86572376267
2023-09-02 01:30:00,47880.37456274257,38647.40975980505,56737.21803353005
2023-09-02 01:45:00,43850.12543194466,35401.49740841092,53188.634277875746
2023-09-02 02:00:00,39961.48483787911,30833.037002576966,48593.46301942709
2023-09-02 02:15:00,36263.177079564135,27985.777941621207,45390.50477524746
2023-09-02 02:30:00,32800.87443582447,24101.863681676972,42128.92263672294
2023-09-02 02:45:00,29616.839833744292,20510.62536916176,38351.26575172892
2023-09-02 03:00:00,26749.633989476133,17258.8997085893,34800.70901610682
2023-09-02 03:15:00,24233.84931603371,15373.472678338903,33256.44752111778
2023-09-02 03:30:00,22099.836481924307,13624.95169384769,30707.114043931575
2023-09-02 03:45:00,20373.39694005793,11315.547868031883,29166.62857778194
2023-09-02 04:00:00,19075.425308356127,10591.010488300344,27735.017116255563
2023-09-02 04:15:00,18221.498127417486,10280.55854486111,27305.628599948148
2023-09-02 04:30:00,17821.41920650696,8808.49704964785,26315.19501373446
2023-09-02 04:45:00,17878.745146964728,9184.787069474514,27193.073690387737
2023-09-02 05:00:00,18390.32651040995,9579.466841490852,27025.91158548413
2023-09-02 05:15:00,19345.909347243374,10448.86559318039,28182.93636582054
2023-09-02 05:30:00,20727.847427031462,11672.83105129539,29241.378231964685
2023-09-02 05:45:00,22510.9768898213,13111.227601264087,30584.538094273044
2023-09-02 06:00:00,24662.701767692655,15755.462815484607,33275.679949987425
2023-09-02 06:15:00,27143.33090120369,18044.089633515476,35980.513135700916
2023-09-02 06:30:00,29906.6946272407,21057.442994550278,38868.27329528364
2023-09-02 06:45:00,32901.05382650306,24783.770488877166,42205.18303260937
2023-09-02 07:00:00,36070.29562429513,27886.786208681908,45004.89613606886
2023-09-02 07:15:00,39355.390402935016,30248.054743928606,48427.60866393057
2023-09-02 07:30:00,42696.06520837058,34207.634539748615,51365.45235365396
2023-09-02 07:45:00,46032.63056061322,37232.5748134932,55036.05714575256
2023-09-02 08:00:00,49307.88254500553,40273.0082380797,58702.26861044808
2023-09-02 08:15:00,52468.99098027109,43147.05431029662,61183.48158218511
2023-09-02 08:30:00,55469.27856848435,46913.865992028615,64018.63884557614
2023-09-02 08:45:00,58269.79580770692,50277.05723041552,67575.4386535936
2023-09-02 09:00:00,60840.602387908395,51861.80911880876,69395.87748284273
2023-09-02 09:15:00,63161.67770490683,55028.42258540053,72953.44115756585
2023-09-02 09:30:00,65223.4005012965,56179.55722322082,74277.00432627815
2023-09-02 09:45:00,67026.55948628802,57493.62247231344,75416.26089834719
2023-09-02 10:00:00,68581.8819551252,59641.93351162927,77379.52836438977
2023-09-02 10:15:00,69909.09434436967,60802.43083519916,78670.68889002013
2023-09-02 10:30:00,71035.55570700507,62485.721952690634,80301.16653356256
2023-09-02 10:45:00,71994.53048375626,63443.1623854157,81410.02944597638
