ds,y_XGBoost
2023-10-02 00:00:00,75168.05
2023-10-02 00:15:00,69011.13
2023-10-02 00:30:00,64567.836
2023-10-02 00:45:00,59603.305
2023-10-02 01:00:00,50995.438
2023-10-02 01:15:00,48176.277
2023-10-02 01:30:00,44659.543
2023-10-02 01:45:00,42224.348
2023-10-02 02:00:00,36179.59
2023-10-02 02:15:00,34368.547
2023-10-02 02:30:00,31691.275
2023-10-02 02:45:00,30181.174
2023-10-02 03:00:00,25208.258
2023-10-02 03:15:00,23607.906
2023-10-02 03:30:00,22453.684
2023-10-02 03:45:00,21386.072
2023-10-02 04:00:00,18358.234
2023-10-02 04:15:00,18278.127
2023-10-02 04:30:00,18504.143
2023-10-02 04:45:00,18764.268
2023-10-02 05:00:00,18179.463
2023-10-02 05:15:00,18754.328
2023-10-02 05:30:00,19269.08
2023-10-02 05:45:00,19819.783
2023-10-02 06:00:00,23949.344
2023-10-02 06:15:00,24940.342
2023-10-02 06:30:00,26297.795
2023-10-02 06:45:00,26848.498
2023-10-02 07:00:00,39085.47
2023-10-02 07:15:00,40690.992
2023-10-02 07:30:00,44071.895
2023-10-02 07:45:00,44622.6
2023-10-02 08:00:00,51274.496
2023-10-02 08:15:00,52880.01
2023-10-02 08:30:00,55651.77
2023-10-02 08:45:00,56202.477
2023-10-02 09:00:00,61913.42
2023-10-02 09:15:00,63220.03
2023-10-02 09:30:00,64797.26
2023-10-02 09:45:00,65347.97
2023-10-02 10:00:00,65816.08
2023-10-02 10:15:00,66606.48
2023-10-02 10:30:00,67464.65
2023-10-02 10:45:00,67855.04
2023-10-02 11:00:00,67817.17
2023-10-02 11:15:00,68607.57
2023-10-02 11:30:00,69465.74
2023-10-02 11:45:00,69797.8
2023-10-02 12:00:00,73105.64
2023-10-02 12:15:00,73896.04
2023-10-02 12:30:00,74754.21
2023-10-02 12:45:00,75086.266
2023-10-02 13:00:00,76749.24
2023-10-02 13:15:00,77539.64
2023-10-02 13:30:00,78397.81
2023-10-02 13:45:00,78729.87
2023-10-02 14:00:00,80460.03
2023-10-02 14:15:00,81250.43
2023-10-02 14:30:00,82108.6
2023-10-02 14:45:00,82440.66
2023-10-02 15:00:00,79593.31
2023-10-02 15:15:00,80356.43
2023-10-02 15:30:00,81214.6
2023-10-02 15:45:00,81546.66
