ds,y_XGBoost,y_XGBoost_lag15
2023-10-02 00:15:00,69011.13,61968.312
2023-10-02 00:30:00,64567.836,58941.473
2023-10-02 00:45:00,59603.305,50239.105
2023-10-02 01:00:00,50995.438,47616.375
2023-10-02 01:15:00,48176.277,41118.62
2023-10-02 01:30:00,44659.543,37202.594
2023-10-02 01:45:00,42224.348,34393.652
2023-10-02 02:00:00,36179.59,31164.225
2023-10-02 02:15:00,34368.547,28229.701
2023-10-02 02:30:00,31691.275,25329.29
2023-10-02 02:45:00,30181.174,23852.525
2023-10-02 03:00:00,25208.258,21901.652
2023-10-02 03:15:00,23607.906,20675.984
2023-10-02 03:30:00,22453.684,19314.95
2023-10-02 03:45:00,21386.072,18874.61
2023-10-02 04:00:00,18358.234,18874.61
2023-10-02 04:15:00,18278.127,18874.61
2023-10-02 04:30:00,18504.143,18874.61
2023-10-02 04:45:00,18764.268,18874.61
2023-10-02 05:00:00,18179.463,18874.61
2023-10-02 05:15:00,18754.328,18874.61
2023-10-02 05:30:00,19269.08,18874.61
2023-10-02 05:45:00,19819.783,19314.95
2023-10-02 06:00:00,23949.344,21248.248
2023-10-02 06:15:00,24940.342,22416.912
2023-10-02 06:30:00,26297.795,25320.791
2023-10-02 06:45:00,26848.498,31987.809
2023-10-02 07:00:00,39085.47,38241.664
2023-10-02 07:15:00,40690.992,46019.938
2023-10-02 07:30:00,44071.895,52474.086
2023-10-02 07:45:00,44622.6,58326.367
2023-10-02 08:00:00,51274.496,63942.277
2023-10-02 08:15:00,52880.01,62721.83
2023-10-02 08:30:00,55651.77,63241.44
2023-10-02 08:45:00,56202.477,64168.473
2023-10-02 09:00:00,61913.42,67680.266
2023-10-02 09:15:00,63220.03,68542.5
2023-10-02 09:30:00,64797.26,68542.5
2023-10-02 09:45:00,65347.97,68542.5
2023-10-02 10:00:00,65816.08,70284.74
2023-10-02 10:15:00,66606.48,72022.55
2023-10-02 10:30:00,67464.65,70284.74
2023-10-02 10:45:00,67855.04,70284.74
2023-10-02 11:00:00,67817.17,70310.74
2023-10-02 11:15:00,68607.57,72578.945
2023-10-02 11:30:00,69465.74,75555.4
2023-10-02 11:45:00,69797.8,74250.88
2023-10-02 12:00:00,73105.64,73328.74
2023-10-02 12:15:00,73896.04,74646.484
2023-10-02 12:30:00,74754.21,76252.76
2023-10-02 12:45:00,75086.266,76252.76
2023-10-02 13:00:00,76749.24,75980.26
2023-10-02 13:15:00,77539.64,78817.66
2023-10-02 13:30:00,78397.81,80929.59
2023-10-02 13:45:00,78729.87,84932.91
2023-10-02 14:00:00,80460.03,84415.836
2023-10-02 14:15:00,81250.43,86490.52
2023-10-02 14:30:00,82108.6,88796.734
2023-10-02 14:45:00,82440.66,89493.35
2023-10-02 15:00:00,79593.31,89419.766
2023-10-02 15:15:00,80356.43,86444.516
2023-10-02 15:30:00,81214.6,84203.89
2023-10-02 15:45:00,81546.66,83594.3
2023-10-02 16:00:00,80275.9,83283.46
2023-10-02 16:15:00,80649.87,82254.48
2023-10-02 16:30:00,81326.266,83594.3
2023-10-02 16:45:00,81658.32,82254.48
2023-10-02 17:00:00,80759.09,83594.3
2023-10-02 17:15:00,80995.77,85328.766
2023-10-02 17:30:00,81604.484,86444.516
